path	name	description	domain	subdomain	tags
skills/abusing-dpapi-for-credential-access/SKILL.md	abusing-dpapi-for-credential-access	Extract DPAPI-protected secrets such as credentials and browser data offline and online.	cybersecurity	red-teaming	 red-team credential-access dpapi sharpdpapi post-exploitation active-directory windows mimikatz
skills/abusing-shadow-credentials-for-privesc/SKILL.md	abusing-shadow-credentials-for-privesc	Take over Active Directory user and computer accounts by writing alternate certificate keys to msDS-KeyCredentialLink (Shadow Credentials) with pyWhisker, Whisker, and Certipy, then authenticate via PKINIT.	cybersecurity	red-teaming	 red-team active-directory shadow-credentials pywhisker certipy pkinit key-credential-link privilege-escalation
skills/achieving-cmmc-level-2-compliance/SKILL.md	achieving-cmmc-level-2-compliance	>-	cybersecurity	compliance-governance	 cmmc nist-800-171 cui sprs dfars c3pao poam compliance governance defense-industrial-base
skills/acquiring-disk-image-with-dd-and-dcfldd/SKILL.md	acquiring-disk-image-with-dd-and-dcfldd	Create forensically sound bit-for-bit disk images using dd and dcfldd	cybersecurity	digital-forensics	 forensics disk-imaging evidence-acquisition dd dcfldd hash-verification
skills/analyzing-active-directory-acl-abuse/SKILL.md	analyzing-active-directory-acl-abuse	Detect dangerous ACL misconfigurations in Active Directory using ldap3	cybersecurity	identity-security	 active-directory acl-abuse ldap privilege-escalation
skills/analyzing-android-malware-with-apktool/SKILL.md	analyzing-android-malware-with-apktool	Perform static analysis of Android APK malware samples using apktool	cybersecurity	malware-analysis	 Android APK apktool jadx androguard mobile-malware static-analysis reverse-engineering
skills/analyzing-api-gateway-access-logs/SKILL.md	analyzing-api-gateway-access-logs	'Parses API Gateway access logs (AWS API Gateway, Kong, Nginx) to detect	cybersecurity	security-operations	 api-security access-log-analysis aws-api-gateway kong nginx bola-detection rate-limit-bypass security-operations
skills/analyzing-apt-group-with-mitre-navigator/SKILL.md	analyzing-apt-group-with-mitre-navigator	Analyze advanced persistent threat (APT) group techniques using MITRE	cybersecurity	threat-intelligence	 mitre-attack navigator apt threat-actor ttp-analysis heatmap detection-gap threat-intelligence
skills/analyzing-azure-activity-logs-for-threats/SKILL.md	analyzing-azure-activity-logs-for-threats	'Queries Azure Monitor activity logs and sign-in logs via azure-monitor-query	cybersecurity	security-operations	 azure cloud-security azure-monitor kql threat-hunting activity-logs
skills/analyzing-bootkit-and-rootkit-samples/SKILL.md	analyzing-bootkit-and-rootkit-samples	'Analyzes bootkit and advanced rootkit malware that infects the Master	cybersecurity	malware-analysis	 malware bootkit rootkit UEFI MBR-analysis
skills/analyzing-browser-forensics-with-hindsight/SKILL.md	analyzing-browser-forensics-with-hindsight	Analyze Chromium-based browser artifacts using Hindsight to extract browsing	cybersecurity	digital-forensics	 browser-forensics hindsight chrome-forensics chromium edge browsing-history cookies downloads cache web-artifacts
skills/analyzing-campaign-attribution-evidence/SKILL.md	analyzing-campaign-attribution-evidence	Campaign attribution analysis involves systematically evaluating evidence	cybersecurity	threat-intelligence	 threat-intelligence cti ioc mitre-attack stix attribution campaign-analysis
skills/analyzing-certificate-transparency-for-phishing/SKILL.md	analyzing-certificate-transparency-for-phishing	Monitor Certificate Transparency logs using crt.sh and Certstream to	cybersecurity	threat-intelligence	 certificate-transparency ct-logs phishing crt-sh certstream ssl domain-monitoring threat-intelligence
skills/analyzing-cloud-storage-access-patterns/SKILL.md	analyzing-cloud-storage-access-patterns	Detect abnormal access patterns in AWS S3, GCS, and Azure Blob Storage	cybersecurity	cloud-security	 cloud-security aws-s3 gcs azure-blob-storage cloudtrail data-access-anomaly exfiltration-detection
skills/analyzing-cobalt-strike-beacon-configuration/SKILL.md	analyzing-cobalt-strike-beacon-configuration	Extract and analyze Cobalt Strike beacon configuration from PE files	cybersecurity	malware-analysis	 cobalt-strike beacon c2 malware-analysis config-extraction threat-hunting red-team-tools
skills/analyzing-cobaltstrike-malleable-c2-profiles/SKILL.md	analyzing-cobaltstrike-malleable-c2-profiles	Parse and analyze Cobalt Strike Malleable C2 profiles using dissect.cobaltstrike	cybersecurity	malware-analysis	 cobalt-strike malleable-c2 c2-detection beacon-analysis network-signatures threat-hunting red-team-tools
skills/analyzing-command-and-control-communication/SKILL.md	analyzing-command-and-control-communication	'Analyzes malware command-and-control (C2) communication protocols to	cybersecurity	malware-analysis	 malware C2 command-and-control beacon protocol-analysis
